nodeclaim,createdtime,nodepool,instancetypes,launchedtime,providerid,instancetype,zone,capacitytype,registeredtime,k8snodename,initializedtime,nodereadytime,nodereadytimesec,disruptiontime,disruptionreason,disruptiondecision,disruptednodecount,replacementnodecount,disruptedpodcount,annotationtime,annotation,interruptiontime,tainttime,taint,interruptionkind,deletedtime,nodeterminationtime,nodeterminationtimesec,nodelifecycletime,nodelifecycletimesec,initialized,deleted
local-storage-raid-al2023-2jbnn,2025-03-11T02:51:04.115Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T02:51:06.225Z,i-038b137f920b5ca6b,c7gd.large,eu-west-1b,spot,2025-03-11T02:51:24.815Z,ip-10-0-79-26.eu-west-1.compute.internal,2025-03-11T02:51:45.496Z,41.381s,41.4,,,,,,,2025-03-11T02:56:04.071Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T02:56:04Z,2025-03-11T02:56:04.116Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T02:57:39.304Z,1m35.233s,95.2,6m35.189s,395.2,true,true
local-storage-raid-al2023-46zdf,2025-03-11T02:56:06.249Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T02:56:08.524Z,i-0d81c5d33ab8285a7,m6gd.large,eu-west-1a,spot,2025-03-11T02:56:30.611Z,ip-10-0-41-20.eu-west-1.compute.internal,2025-03-11T02:56:59.896Z,53.647s,53.6,,,,,,,2025-03-11T03:01:06.054Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:01:06Z,2025-03-11T03:01:06.106Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:02:20.534Z,1m14.48s,74.5,6m14.285s,374.3,true,true
local-storage-raid-al2023-vn4w2,2025-03-11T03:01:08.142Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T03:01:10.593Z,i-08baf77cbbf2b9bc1,m6gd.large,eu-west-1a,spot,2025-03-11T03:01:35.815Z,ip-10-0-59-47.eu-west-1.compute.internal,2025-03-11T03:02:02.092Z,53.95s,54.0,,,,,,,2025-03-11T03:06:08.053Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:06:08Z,2025-03-11T03:06:08.098Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:07:12.280Z,1m4.227s,64.2,6m4.138s,364.1,true,true
local-storage-raid-al2023-znws7,2025-03-11T03:06:09.804Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T03:06:12.157Z,i-026b98c90d38b1813,c7gd.large,eu-west-1b,spot,2025-03-11T03:06:31.496Z,ip-10-0-127-30.eu-west-1.compute.internal,2025-03-11T03:06:51.237Z,41.433s,41.4,,,,,,,2025-03-11T03:11:09.059Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:11:09Z,2025-03-11T03:11:09.100Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:12:34.846Z,1m25.787s,85.8,6m25.042s,385.0,true,true
local-storage-raid-al2023-7gmh5,2025-03-11T03:11:11.621Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T03:11:13.778Z,i-0c47be505ff0758ba,c7gd.large,eu-west-1c,spot,2025-03-11T03:11:34.441Z,ip-10-0-167-83.eu-west-1.compute.internal,2025-03-11T03:11:55.597Z,43.976s,44.0,,,,,,,2025-03-11T03:16:11.078Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:16:11Z,2025-03-11T03:16:11.161Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:17:29.973Z,1m18.895s,78.9,6m18.352s,378.4,true,true
local-storage-raid-al2023-945td,2025-03-11T03:16:12.793Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T03:16:15.049Z,i-01c8c49d396a0ea6c,m6gd.large,eu-west-1a,spot,2025-03-11T03:16:36.579Z,ip-10-0-49-108.eu-west-1.compute.internal,2025-03-11T03:17:02.590Z,49.797s,49.8,,,,,,,2025-03-11T03:21:12.080Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:21:12Z,2025-03-11T03:21:12.124Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:22:12.037Z,59.957s,60.0,5m59.244s,359.2,true,true
local-storage-raid-al2023-g6cbv,2025-03-11T03:21:14.361Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T03:21:16.531Z,i-0262c6d4d522d8db8,m6gd.large,eu-west-1a,spot,2025-03-11T03:21:38.629Z,ip-10-0-42-239.eu-west-1.compute.internal,2025-03-11T03:22:06.103Z,51.742s,51.7,,,,,,,2025-03-11T03:26:14.049Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:26:14Z,2025-03-11T03:26:14.096Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:27:28.631Z,1m14.582s,74.6,6m14.27s,374.3,true,true
local-storage-raid-al2023-gm4jj,2025-03-11T03:26:15.802Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T03:26:17.975Z,i-02fbd32b3c75292c9,m6gd.large,eu-west-1a,spot,2025-03-11T03:26:41.334Z,ip-10-0-57-254.eu-west-1.compute.internal,2025-03-11T03:27:07.741Z,51.939s,51.9,,,,,,,2025-03-11T03:31:15.058Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:31:15Z,2025-03-11T03:31:15.109Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:33:01.348Z,1m46.29s,106.3,6m45.546s,405.5,true,true
local-storage-raid-al2023-5jcjf,2025-03-11T03:31:17.345Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T03:31:19.535Z,i-0378f12a300233708,c7gd.large,eu-west-1c,spot,2025-03-11T03:31:41.374Z,ip-10-0-163-27.eu-west-1.compute.internal,2025-03-11T03:32:01.261Z,43.916s,43.9,,,,,,,2025-03-11T03:36:17.096Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:36:17Z,2025-03-11T03:36:17.159Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:37:16.036Z,58.94s,58.9,5m58.691s,358.7,true,true
local-storage-raid-al2023-qsfr5,2025-03-11T03:36:18.800Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T03:36:21.022Z,i-0693edba849fc9109,m6gd.large,eu-west-1a,spot,2025-03-11T03:36:45.141Z,ip-10-0-30-84.eu-west-1.compute.internal,2025-03-11T03:37:08.343Z,49.543s,49.5,,,,,,,2025-03-11T03:41:18.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:41:18Z,2025-03-11T03:41:18.105Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:42:59.528Z,1m41.466s,101.5,6m40.728s,400.7,true,true
local-storage-raid-al2023-z872c,2025-03-11T03:41:20.296Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T03:41:22.478Z,i-010dce41e216f1077,m6gd.large,eu-west-1a,spot,2025-03-11T03:41:44.015Z,ip-10-0-21-224.eu-west-1.compute.internal,2025-03-11T03:42:06.442Z,46.146s,46.1,,,,,,,2025-03-11T03:46:20.058Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:46:20Z,2025-03-11T03:46:20.123Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:48:10.988Z,1m50.93s,110.9,6m50.692s,410.7,true,true
local-storage-raid-al2023-rrr7b,2025-03-11T03:46:21.846Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T03:46:23.933Z,i-024d05765a292d7e6,c7gd.large,eu-west-1b,spot,2025-03-11T03:46:44.030Z,ip-10-0-108-213.eu-west-1.compute.internal,2025-03-11T03:47:03.130Z,41.284s,41.3,,,,,,,2025-03-11T03:51:21.067Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:51:21Z,2025-03-11T03:51:21.119Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:53:12.506Z,1m51.439s,111.4,6m50.66s,410.7,true,true
local-storage-raid-al2023-f4c68,2025-03-11T03:51:23.318Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T03:51:25.511Z,i-0279da59e4d5e711d,m6gd.large,eu-west-1a,spot,2025-03-11T03:51:46.807Z,ip-10-0-29-192.eu-west-1.compute.internal,2025-03-11T03:52:10.232Z,46.914s,46.9,,,,,,,2025-03-11T03:56:23.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T03:56:23Z,2025-03-11T03:56:23.114Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T03:58:03.964Z,1m40.903s,100.9,6m40.646s,400.6,true,true
local-storage-raid-al2023-wf9f5,2025-03-11T03:56:24.865Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T03:56:27.088Z,i-0dd8974796eb915f7,c7gd.large,eu-west-1c,spot,2025-03-11T03:56:46.678Z,ip-10-0-129-188.eu-west-1.compute.internal,2025-03-11T03:57:07.143Z,42.278s,42.3,,,,,,,2025-03-11T04:01:24.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:01:24Z,2025-03-11T04:01:24.110Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:02:29.254Z,1m5.193s,65.2,6m4.389s,364.4,true,true
local-storage-raid-al2023-rlqdz,2025-03-11T04:01:26.372Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T04:01:28.559Z,i-0250fa0ebe0d9b0d9,c7gd.large,eu-west-1c,spot,2025-03-11T04:01:51.529Z,ip-10-0-141-231.eu-west-1.compute.internal,2025-03-11T04:02:11.606Z,45.234s,45.2,,,,,,,2025-03-11T04:06:26.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:06:26Z,2025-03-11T04:06:26.118Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:07:30.234Z,1m4.173s,64.2,6m3.862s,363.9,true,true
local-storage-raid-al2023-7597z,2025-03-11T04:06:27.857Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T04:06:30.129Z,i-0d7332eef7a2fdc0c,c7gd.large,eu-west-1b,spot,2025-03-11T04:06:51.399Z,ip-10-0-77-251.eu-west-1.compute.internal,2025-03-11T04:07:13.364Z,45.507s,45.5,,,,,,,2025-03-11T04:11:27.056Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:11:27Z,2025-03-11T04:11:27.107Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:13:08.235Z,1m41.179s,101.2,6m40.378s,400.4,true,true
local-storage-raid-al2023-fjk72,2025-03-11T04:11:29.382Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T04:11:31.585Z,i-0f64420d1cb2afd68,c7gd.large,eu-west-1c,spot,2025-03-11T04:11:53.860Z,ip-10-0-172-159.eu-west-1.compute.internal,2025-03-11T04:12:13.453Z,44.071s,44.1,,,,,,,2025-03-11T04:16:29.075Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:16:29Z,2025-03-11T04:16:29.148Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:17:28.180Z,59.105s,59.1,5m58.798s,358.8,true,true
local-storage-raid-al2023-pkvdq,2025-03-11T04:16:30.974Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T04:16:33.153Z,i-0417adc215eb5230b,c7gd.large,eu-west-1c,spot,2025-03-11T04:16:54.524Z,ip-10-0-139-14.eu-west-1.compute.internal,2025-03-11T04:17:14.068Z,43.094s,43.1,,,,,,,2025-03-11T04:21:30.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:21:30Z,2025-03-11T04:21:30.112Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:23:11.394Z,1m41.332s,101.3,6m40.42s,400.4,true,true
local-storage-raid-al2023-2dzr8,2025-03-11T04:21:32.637Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T04:21:34.948Z,i-0c0d05af8061d8073,m6gd.large,eu-west-1a,spot,2025-03-11T04:21:57.619Z,ip-10-0-26-30.eu-west-1.compute.internal,2025-03-11T04:22:25.661Z,53.024s,53.0,,,,,,,2025-03-11T04:26:32.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:26:32Z,2025-03-11T04:26:32.109Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:27:47.522Z,1m15.46s,75.5,6m14.885s,374.9,true,true
local-storage-raid-al2023-kbrk9,2025-03-11T04:26:34.055Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T04:26:36.275Z,i-09bae30b77f2283f7,c7gd.large,eu-west-1c,spot,2025-03-11T04:27:06.997Z,ip-10-0-133-162.eu-west-1.compute.internal,2025-03-11T04:27:26.478Z,52.423s,52.4,,,,,,,2025-03-11T04:31:34.081Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:31:34Z,2025-03-11T04:31:34.146Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:32:33.144Z,59.063s,59.1,5m59.089s,359.1,true,true
local-storage-raid-al2023-m2lvw,2025-03-11T04:31:35.941Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T04:31:38.056Z,i-0b10b93bf6fb9fdee,c7gd.large,eu-west-1b,spot,2025-03-11T04:31:59.247Z,ip-10-0-116-56.eu-west-1.compute.internal,2025-03-11T04:32:19.843Z,43.902s,43.9,,,,,,,2025-03-11T04:36:35.082Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:36:35Z,2025-03-11T04:36:35.181Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:37:35.088Z,1m0.006s,60.0,5m59.147s,359.1,true,true
local-storage-raid-al2023-vqc84,2025-03-11T04:36:37.484Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T04:36:39.678Z,i-0183a7b9009b6648c,c7gd.large,eu-west-1b,spot,2025-03-11T04:36:59.259Z,ip-10-0-109-80.eu-west-1.compute.internal,2025-03-11T04:37:20.923Z,43.439s,43.4,,,,,,,2025-03-11T04:41:37.087Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:41:37Z,2025-03-11T04:41:37.278Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:42:36.206Z,59.119s,59.1,5m58.722s,358.7,true,true
local-storage-raid-al2023-cjbwz,2025-03-11T04:41:39.171Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T04:41:41.338Z,i-03a4d40de24d4d88c,c7gd.large,eu-west-1b,spot,2025-03-11T04:42:01.639Z,ip-10-0-126-116.eu-west-1.compute.internal,2025-03-11T04:42:22.215Z,43.044s,43.0,,,,,,,2025-03-11T04:46:39.057Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:46:39Z,2025-03-11T04:46:39.117Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:47:34.497Z,55.44s,55.4,5m55.326s,355.3,true,true
local-storage-raid-al2023-sx575,2025-03-11T04:46:41.428Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T04:46:43.686Z,i-057aaa5c561953411,m6gd.large,eu-west-1a,spot,2025-03-11T04:47:05.801Z,ip-10-0-3-94.eu-west-1.compute.internal,2025-03-11T04:47:34.025Z,52.597s,52.6,,,,,,,2025-03-11T04:51:41.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:51:41Z,2025-03-11T04:51:41.111Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:52:50.309Z,1m9.247s,69.2,6m8.881s,368.9,true,true
local-storage-raid-al2023-n8t9m,2025-03-11T04:51:43.054Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T04:51:45.286Z,i-0299d9e07132c82e9,m6gd.large,eu-west-1a,spot,2025-03-11T04:52:05.421Z,ip-10-0-51-27.eu-west-1.compute.internal,2025-03-11T04:52:31.401Z,48.347s,48.3,,,,,,,2025-03-11T04:56:43.059Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T04:56:43Z,2025-03-11T04:56:43.113Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T04:58:29.761Z,1m46.702s,106.7,6m46.707s,406.7,true,true
local-storage-raid-al2023-fhstf,2025-03-11T04:56:45.494Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T04:56:47.618Z,i-0cb8964083193c9f8,c7gd.large,eu-west-1b,spot,2025-03-11T04:57:06.528Z,ip-10-0-126-143.eu-west-1.compute.internal,2025-03-11T04:57:26.354Z,40.86s,40.9,,,,,,,2025-03-11T05:01:45.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:01:45Z,2025-03-11T05:01:45.109Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:03:35.857Z,1m50.797s,110.8,6m50.363s,410.4,true,true
local-storage-raid-al2023-m7sqq,2025-03-11T05:01:47.024Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T05:01:49.164Z,i-06dc41a7e5eaaafc3,m6gd.large,eu-west-1a,spot,2025-03-11T05:02:13.345Z,ip-10-0-59-230.eu-west-1.compute.internal,2025-03-11T05:02:39.221Z,52.197s,52.2,,,,,,,2025-03-11T05:06:47.062Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:06:47Z,2025-03-11T05:06:47.116Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:08:23.329Z,1m36.267s,96.3,6m36.305s,396.3,true,true
local-storage-raid-al2023-plkr2,2025-03-11T05:06:49.526Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T05:06:51.866Z,i-08637547938df67f7,c7gd.large,eu-west-1b,spot,2025-03-11T05:07:12.662Z,ip-10-0-73-122.eu-west-1.compute.internal,2025-03-11T05:07:32.030Z,42.504s,42.5,,,,,,,2025-03-11T05:11:49.087Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:11:49Z,2025-03-11T05:11:49.144Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:13:08.884Z,1m19.797s,79.8,6m19.358s,379.4,true,true
local-storage-raid-al2023-4h8s4,2025-03-11T05:11:51.163Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T05:11:53.342Z,i-095dd78be032a083c,c7gd.large,eu-west-1c,spot,2025-03-11T05:12:21.729Z,ip-10-0-142-35.eu-west-1.compute.internal,2025-03-11T05:12:41.175Z,50.012s,50.0,,,,,,,2025-03-11T05:16:51.060Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:16:51Z,2025-03-11T05:16:51.115Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:18:19.221Z,1m28.161s,88.2,6m28.058s,388.1,true,true
local-storage-raid-al2023-2qjfq,2025-03-11T05:16:52.843Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T05:16:55.007Z,i-09ab6fd7886f3959c,c7gd.large,eu-west-1c,spot,2025-03-11T05:17:16.301Z,ip-10-0-186-72.eu-west-1.compute.internal,2025-03-11T05:17:35.500Z,42.657s,42.7,,,,,,,2025-03-11T05:21:52.065Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:21:52Z,2025-03-11T05:21:52.121Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:23:42.852Z,1m50.787s,110.8,6m50.009s,410.0,true,true
local-storage-raid-al2023-94w6b,2025-03-11T05:21:54.280Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T05:21:56.403Z,i-0ab3f8e028f025877,c7gd.large,eu-west-1b,spot,2025-03-11T05:22:14.898Z,ip-10-0-123-121.eu-west-1.compute.internal,2025-03-11T05:22:34.826Z,40.546s,40.5,,,,,,,2025-03-11T05:26:54.059Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:26:54Z,2025-03-11T05:26:54.111Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:28:24.097Z,1m30.038s,90.0,6m29.817s,389.8,true,true
local-storage-raid-al2023-vhjlv,2025-03-11T05:26:55.838Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T05:26:58.114Z,i-0f43a99885da61512,c7gd.large,eu-west-1c,spot,2025-03-11T05:27:16.434Z,ip-10-0-189-74.eu-west-1.compute.internal,2025-03-11T05:27:36.088Z,40.25s,40.2,,,,,,,2025-03-11T05:31:55.071Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:31:55Z,2025-03-11T05:31:55.121Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:33:20.340Z,1m25.269s,85.3,6m24.502s,384.5,true,true
local-storage-raid-al2023-8xh6f,2025-03-11T05:31:57.326Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T05:31:59.512Z,i-000b4f65fdddef9f2,c7gd.large,eu-west-1c,spot,2025-03-11T05:32:19.162Z,ip-10-0-173-23.eu-west-1.compute.internal,2025-03-11T05:32:39.573Z,42.247s,42.2,,,,,,,2025-03-11T05:36:57.063Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:36:57Z,2025-03-11T05:36:57.111Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:38:16.618Z,1m19.555s,79.6,6m19.292s,379.3,true,true
local-storage-raid-al2023-rmk9c,2025-03-11T05:36:58.722Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.2xlarge|c5d.4xlarge|c6gd.2xlarge|and55others,2025-03-11T05:37:01.021Z,i-062ac06e7767039a7,c7gd.large,eu-west-1c,spot,2025-03-11T05:37:21.909Z,ip-10-0-176-240.eu-west-1.compute.internal,2025-03-11T05:37:43.010Z,44.288s,44.3,,,,,,,2025-03-11T05:41:58.061Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:41:58Z,2025-03-11T05:41:58.110Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:43:25.637Z,1m27.576s,87.6,6m26.915s,386.9,true,true
local-storage-raid-al2023-p8fmp,2025-03-11T05:42:00.261Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T05:42:02.529Z,i-030f5fe897c1ec1ab,c7gd.large,eu-west-1b,spot,2025-03-11T05:42:22.793Z,ip-10-0-79-63.eu-west-1.compute.internal,2025-03-11T05:42:41.647Z,41.386s,41.4,,,,,,,2025-03-11T05:47:00.095Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:47:00Z,2025-03-11T05:47:00.159Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:48:24.821Z,1m24.726s,84.7,6m24.56s,384.6,true,true
local-storage-raid-al2023-xh58f,2025-03-11T05:47:01.798Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T05:47:04.188Z,i-0a06cc244f05ed0f6,c7gd.large,eu-west-1b,spot,2025-03-11T05:47:22.717Z,ip-10-0-77-8.eu-west-1.compute.internal,2025-03-11T05:47:43.138Z,41.34s,41.3,,,,,,,2025-03-11T05:52:01.106Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:52:01Z,2025-03-11T05:52:01.220Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:53:25.929Z,1m24.823s,84.8,6m24.131s,384.1,true,true
local-storage-raid-al2023-7zmlb,2025-03-11T05:52:03.511Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.4xlarge|c5ad.xlarge|c6gd.2xlarge|c6gd.large|and55others,2025-03-11T05:52:06.084Z,i-075482ead641fa0f7,m6gd.large,eu-west-1a,spot,2025-03-11T05:52:28.003Z,ip-10-0-58-226.eu-west-1.compute.internal,2025-03-11T05:52:53.863Z,50.352s,50.4,,,,,,,2025-03-11T05:57:03.091Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T05:57:03Z,2025-03-11T05:57:03.211Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T05:58:02.250Z,59.159s,59.2,5m58.739s,358.7,true,true
local-storage-raid-al2023-ff6jd,2025-03-11T05:57:05.365Z,local-storage-raid-al2023,c5ad.2xlarge|c5ad.xlarge|c5d.4xlarge|c6gd.2xlarge|c6gd.4xlarge|and55others,2025-03-11T05:57:07.495Z,i-0a3f1917edeff5476,c7gd.large,eu-west-1b,spot,2025-03-11T05:57:27.908Z,ip-10-0-106-30.eu-west-1.compute.internal,2025-03-11T05:57:46.572Z,41.207s,41.2,,,,,,,2025-03-11T06:02:05.081Z,karpenter.sh/nodeclaim-termination-timestamp:2025-03-12T06:02:05Z,2025-03-11T06:02:05.173Z,karpenter.sh/disrupted::NoSchedule,,,2025-03-11T06:03:30.994Z,1m25.913s,85.9,6m25.629s,385.6,true,true
